date,activ,ocup,paro,per_act,per_paro
01/07/2019,23088.7,19874.3,3214.4,58.72,13.92
01/04/2019,23035.5,19804.9,3230.6,58.74,14.02
01/01/2019,22825.4,19471.1,3354.2,58.35,14.7
01/10/2018,22868.8,19564.6,3304.3,58.61,14.45
01/07/2018,22854,19528,3326,58.73,14.55
01/04/2018,22834.2,19344.1,3490.1,58.8,15.28
01/01/2018,22670.3,18874.2,3796.1,58.46,16.74
01/10/2017,22765,18998.4,3766.7,58.8,16.55
01/07/2017,22780.9,19049.3,3731.7,58.92,16.38
01/04/2017,22727.6,18813.3,3914.3,58.84,17.22
01/01/2017,22693.3,18438.3,4255,58.78,18.75
01/10/2016,22745.9,18508.1,4237.8,58.95,18.63
01/07/2016,22848.3,18527.5,4320.8,59.28,18.91
01/04/2016,22875.7,18301,4574.7,59.41,20
01/01/2016,22821,18029.6,4791.4,59.29,21
01/10/2015,22873.7,18094.2,4779.5,59.43,20.9
01/07/2015,22899.5,18048.7,4850.8,59.5,21.18
01/04/2015,23015.5,17866.5,5149,59.79,22.37
01/01/2015,22899.4,17454.8,5444.6,59.45,23.78
01/10/2014,23026.8,17569.1,5457.7,59.77,23.7
01/07/2014,22931.7,17504,5427.7,59.53,23.67
01/04/2014,22975.9,17353,5622.9,59.63,24.47
01/01/2014,22883.9,16950.6,5933.3,59.46,25.93
01/10/2013,23070.9,17135.2,5935.6,59.86,25.73
01/07/2013,23173.4,17230,5943.4,60.04,25.65
01/04/2013,23207.9,17160.6,6047.3,60,26.06
01/01/2013,23308.4,17030.2,6278.2,60.18,26.94
01/10/2012,23360.4,17339.4,6021,60.23,25.77
01/07/2012,23491.9,17667.7,5824.2,60.55,24.79
01/04/2012,23489.5,17758.5,5731,60.5,24.4
01/01/2012,23433,17765.1,5667.9,60.31,24.19
01/10/2011,23440.3,18153,5287.3,60.29,22.56
01/07/2011,23482.5,18484.5,4998,60.44,21.28
01/04/2011,23466.2,18622,4844.2,60.44,20.64
01/01/2011,23347.3,18426.2,4921.2,60.16,21.08
01/10/2010,23377.1,18674.9,4702.2,60.25,20.11
01/07/2010,23404.4,18819,4585.4,60.37,19.59
01/04/2010,23406.4,18751.1,4655.3,60.41,19.89
01/01/2010,23270.5,18652.9,4617.7,60.09,19.84
01/10/2009,23225.4,18890.4,4335,59.99,18.66
01/07/2009,23219.8,19098.4,4121.4,60.05,17.75
01/04/2009,23293.4,19154.2,4139.6,60.3,17.77
01/01/2009,23302.6,19284.4,4018.2,60.39,17.24
01/10/2008,23262.1,20055.3,3206.8,60.35,13.79
01/07/2008,23157.1,20556.4,2600.7,60.23,11.23
01/04/2008,23032.6,20646.9,2385.7,60.07,10.36
01/01/2008,22810.4,20620,2190.5,59.67,9.6
01/10/2007,22659.9,20717.9,1942,59.47,8.57
01/07/2007,22559.6,20753.4,1806.2,59.5,8.01
01/04/2007,22354.1,20580.9,1773.2,59.23,7.93
01/01/2007,22130.8,20267.5,1863.2,58.9,8.42
01/10/2006,22014.8,20195.4,1819.4,58.88,8.26
01/07/2006,21857.8,20091,1766.9,58.74,8.08
01/04/2006,21726,19891.6,1834.4,58.63,8.44
01/01/2006,21521.3,19578.4,1942.8,58.3,9.03
01/10/2005,21369.5,19509.2,1860.3,58.08,8.71
01/07/2005,21205.6,19422.1,1783.5,57.86,8.41
01/04/2005,21129.7,19160.6,1969.1,57.86,9.32
01/01/2005,20857.4,18736.1,2121.3,57.38,10.17
01/10/2004,20667.7,18490.8,2176.9,57.12,10.53
01/07/2004,20488.9,18289.1,2199.8,56.93,10.74
01/04/2004,20266.5,18018.9,2247.6,56.55,11.09
01/01/2004,20080,17770.2,2309.8,56.24,11.5
01/10/2003,20017.1,17740.5,2276.7,56.25,11.37
01/07/2003,19893.5,17646,2247.5,56.15,11.3
01/04/2003,19639.2,17423.2,2216,55.65,11.28
01/01/2003,19421.2,17092.7,2328.5,55.28,11.99
01/10/2002,19224.3,16991.9,2232.4,54.95,11.61
01/07/2002,19115.3,16919.3,2196,54.92,11.49
01/04/2002,18870.2,16766.9,2103.3,54.48,11.15
01/01/2002,18635.1,16482.3,2152.8,54.06,11.55
01/10/2001,18292,16348.2,1943.8,53.41,10.63
01/07/2001,18164,16294.3,1869.7,53.22,10.29
01/04/2001,17932.1,16076.3,1855.8,52.73,10.35
01/01/2001,17814.7,15866.3,1948.3,52.57,10.94
